resampling_technique;hyperparameters;accuracy;precision;recall;f1-score
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};95.29%;91.55%;99.79%;95.49%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};94.84%;91.27%;99.17%;95.05%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};94.50%;92.02%;97.44%;94.65%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};95.40%;91.83%;99.65%;95.58%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};94.91%;92.92%;97.23%;95.03%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};94.12%;90.27%;98.89%;94.38%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};95.50%;92.22%;99.38%;95.67%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};96.02%;93.23%;99.24%;96.14%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};95.71%;92.86%;99.03%;95.84%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};96.40%;93.51%;99.72%;96.51%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};95.40%;91.94%;99.52%;95.58%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};95.78%;93.09%;98.89%;95.90%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};95.57%;92.67%;98.96%;95.71%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};96.64%;93.88%;99.79%;96.74%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};95.36%;93.84%;97.09%;95.44%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};93.25%;89.45%;98.06%;93.56%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};95.53%;92.34%;99.31%;95.70%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};95.43%;92.49%;98.89%;95.58%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};95.81%;92.43%;99.79%;95.97%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};95.15%;92.12%;98.75%;95.32%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};96.43%;93.45%;99.86%;96.55%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};95.26%;91.60%;99.65%;95.46%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};96.09%;92.80%;99.93%;96.23%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};94.53%;90.19%;99.93%;94.81%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};94.15%;90.32%;98.89%;94.41%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};94.84%;91.64%;98.68%;95.03%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};95.85%;92.60%;99.65%;96.00%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};94.95%;91.82%;98.68%;95.13%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};95.12%;91.26%;99.79%;95.34%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};93.91%;91.38%;96.95%;94.09%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};93.46%;89.49%;98.48%;93.77%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};93.35%;89.72%;97.92%;93.64%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};95.71%;92.15%;99.93%;95.88%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};95.64%;92.08%;99.86%;95.81%
